X: (s),Y: (Hits)
1.22187e-05,0
1.222e-05,0
1.22213e-05,0
1.22225e-05,0
1.22238e-05,0
1.22251e-05,0
1.22263e-05,0
1.22276e-05,0
1.22288e-05,0
1.22301e-05,0
1.22314e-05,0
1.22326e-05,0
1.22339e-05,0
1.22352e-05,0
1.22364e-05,0
1.22377e-05,0
1.2239e-05,0
1.22402e-05,0
1.22415e-05,0
1.22427e-05,0
1.2244e-05,0
1.22453e-05,0
1.22465e-05,0
1.22478e-05,0
1.22491e-05,0
1.22503e-05,0
1.22516e-05,0
1.22529e-05,0
1.22541e-05,0
1.22554e-05,0
1.22567e-05,0
1.22579e-05,0
1.22592e-05,0
1.22604e-05,0
1.22617e-05,0
1.2263e-05,0
1.22642e-05,0
1.22655e-05,0
1.22668e-05,0
1.2268e-05,0
1.22693e-05,0
1.22706e-05,0
1.22718e-05,0
1.22731e-05,0
1.22743e-05,0
1.22756e-05,0
1.22769e-05,0
1.22781e-05,0
1.22794e-05,0
1.22807e-05,0
1.22819e-05,0
1.22832e-05,0
1.22845e-05,0
1.22857e-05,0
1.2287e-05,0
1.22882e-05,0
1.22895e-05,0
1.22908e-05,0
1.2292e-05,0
1.22933e-05,0
1.22946e-05,0
1.22958e-05,0
1.22971e-05,0
1.22984e-05,0
1.22996e-05,0
1.23009e-05,0
1.23022e-05,0
1.23034e-05,0
1.23047e-05,0
1.23059e-05,0
1.23072e-05,0
1.23085e-05,0
1.23097e-05,0
1.2311e-05,0
1.23123e-05,0
1.23135e-05,0
1.23148e-05,0
1.23161e-05,0
1.23173e-05,0
1.23186e-05,0
1.23198e-05,0
1.23211e-05,0
1.23224e-05,0
1.23236e-05,0
1.23249e-05,0
1.23262e-05,0
1.23274e-05,0
1.23287e-05,0
1.233e-05,0
1.23312e-05,0
1.23325e-05,0
1.23338e-05,0
1.2335e-05,0
1.23363e-05,0
1.23375e-05,0
1.23388e-05,0
1.23401e-05,0
1.23413e-05,0
1.23426e-05,0
1.23439e-05,0
1.23451e-05,0
1.23464e-05,0
1.23477e-05,0
1.23489e-05,0
1.23502e-05,0
1.23514e-05,0
1.23527e-05,0
1.2354e-05,0
1.23552e-05,0
1.23565e-05,0
1.23578e-05,0
1.2359e-05,0
1.23603e-05,0
1.23616e-05,0
1.23628e-05,0
1.23641e-05,0
1.23654e-05,0
1.23666e-05,0
1.23679e-05,0
1.23691e-05,0
1.23704e-05,0
1.23717e-05,0
1.23729e-05,0
1.23742e-05,0
1.23755e-05,0
1.23767e-05,0
1.2378e-05,0
1.23793e-05,0
1.23805e-05,0
1.23818e-05,0
1.2383e-05,0
1.23843e-05,0
1.23856e-05,0
1.23868e-05,0
1.23881e-05,0
1.23894e-05,0
1.23906e-05,0
1.23919e-05,0
1.23932e-05,0
1.23944e-05,0
1.23957e-05,0
1.2397e-05,0
1.23982e-05,0
1.23995e-05,0
1.24007e-05,0
1.2402e-05,0
1.24033e-05,0
1.24045e-05,0
1.24058e-05,0
1.24071e-05,0
1.24083e-05,0
1.24096e-05,0
1.24109e-05,0
1.24121e-05,0
1.24134e-05,0
1.24146e-05,0
1.24159e-05,0
1.24172e-05,0
1.24184e-05,0
1.24197e-05,0
1.2421e-05,0
1.24222e-05,0
1.24235e-05,0
1.24248e-05,0
1.2426e-05,0
1.24273e-05,0
1.24285e-05,0
1.24298e-05,0
1.24311e-05,0
1.24323e-05,0
1.24336e-05,0
1.24349e-05,0
1.24361e-05,0
1.24374e-05,0
1.24387e-05,0
1.24399e-05,0
1.24412e-05,0
1.24425e-05,0
1.24437e-05,0
1.2445e-05,0
1.24462e-05,0
1.24475e-05,0
1.24488e-05,0
1.245e-05,0
1.24513e-05,0
1.24526e-05,0
1.24538e-05,0
1.24551e-05,0
1.24564e-05,0
1.24576e-05,0
1.24589e-05,0
1.24601e-05,0
1.24614e-05,0
1.24627e-05,0
1.24639e-05,0
1.24652e-05,0
1.24665e-05,0
1.24677e-05,0
1.2469e-05,0
1.24703e-05,0
1.24715e-05,0
1.24728e-05,0
1.24741e-05,0
1.24753e-05,0
1.24766e-05,0
1.24778e-05,0
1.24791e-05,0
1.24804e-05,0
1.24816e-05,0
1.24829e-05,0
1.24842e-05,0
1.24854e-05,0
1.24867e-05,0
1.2488e-05,0
1.24892e-05,0
1.24905e-05,0
1.24917e-05,0
1.2493e-05,0
1.24943e-05,0
1.24955e-05,0
1.24968e-05,0
1.24981e-05,0
1.24993e-05,0
1.25006e-05,0
1.25019e-05,0
1.25031e-05,0
1.25044e-05,0
1.25057e-05,0
1.25069e-05,0
1.25082e-05,0
1.25094e-05,0
1.25107e-05,0
1.2512e-05,0
1.25132e-05,0
1.25145e-05,0
1.25158e-05,0
1.2517e-05,0
1.25183e-05,0
1.25196e-05,0
1.25208e-05,0
1.25221e-05,0
1.25233e-05,0
1.25246e-05,0
1.25259e-05,0
1.25271e-05,0
1.25284e-05,0
1.25297e-05,0
1.25309e-05,0
1.25322e-05,0
1.25335e-05,0
1.25347e-05,0
1.2536e-05,0
1.25373e-05,0
1.25385e-05,0
1.25398e-05,0
1.2541e-05,0
1.25423e-05,0
1.25436e-05,0
1.25448e-05,0
1.25461e-05,0
1.25474e-05,13
1.25486e-05,10
1.25499e-05,5
1.25512e-05,2
1.25524e-05,9
1.25537e-05,8
1.25549e-05,5
1.25562e-05,26
1.25575e-05,11
1.25587e-05,5
1.256e-05,9
1.25613e-05,5
1.25625e-05,3
1.25638e-05,10
1.25651e-05,7
1.25663e-05,13
1.25676e-05,14
1.25688e-05,10
1.25701e-05,9
1.25714e-05,0
1.25726e-05,0
1.25739e-05,0
