X: (s),Y: (Hits)
2.68841e-05,0
2.68868e-05,0
2.68896e-05,0
2.68924e-05,0
2.68951e-05,0
2.68979e-05,0
2.69007e-05,0
2.69034e-05,0
2.69062e-05,0
2.69089e-05,0
2.69117e-05,0
2.69145e-05,0
2.69172e-05,0
2.692e-05,0
2.69228e-05,0
2.69255e-05,0
2.69283e-05,0
2.69311e-05,0
2.69338e-05,0
2.69366e-05,0
2.69394e-05,0
2.69421e-05,0
2.69449e-05,0
2.69477e-05,0
2.69504e-05,0
2.69532e-05,0
2.6956e-05,0
2.69587e-05,0
2.69615e-05,0
2.69643e-05,0
2.6967e-05,0
2.69698e-05,0
2.69725e-05,0
2.69753e-05,0
2.69781e-05,0
2.69808e-05,0
2.69836e-05,0
2.69864e-05,0
2.69891e-05,0
2.69919e-05,0
2.69947e-05,0
2.69974e-05,0
2.70002e-05,0
2.7003e-05,0
2.70057e-05,0
2.70085e-05,0
2.70113e-05,0
2.7014e-05,0
2.70168e-05,0
2.70196e-05,0
2.70223e-05,0
2.70251e-05,0
2.70279e-05,0
2.70306e-05,0
2.70334e-05,0
2.70361e-05,0
2.70389e-05,0
2.70417e-05,0
2.70444e-05,0
2.70472e-05,0
2.705e-05,0
2.70527e-05,0
2.70555e-05,0
2.70583e-05,0
2.7061e-05,0
2.70638e-05,0
2.70666e-05,0
2.70693e-05,0
2.70721e-05,0
2.70749e-05,0
2.70776e-05,0
2.70804e-05,0
2.70832e-05,0
2.70859e-05,0
2.70887e-05,0
2.70915e-05,0
2.70942e-05,0
2.7097e-05,0
2.70998e-05,0
2.71025e-05,0
2.71053e-05,0
2.7108e-05,0
2.71108e-05,0
2.71136e-05,0
2.71163e-05,0
2.71191e-05,0
2.71219e-05,0
2.71246e-05,0
2.71274e-05,0
2.71302e-05,0
2.71329e-05,0
2.71357e-05,0
2.71385e-05,0
2.71412e-05,0
2.7144e-05,0
2.71468e-05,0
2.71495e-05,0
2.71523e-05,0
2.71551e-05,0
2.71578e-05,0
2.71606e-05,0
2.71634e-05,0
2.71661e-05,0
2.71689e-05,0
2.71716e-05,0
2.71744e-05,0
2.71772e-05,0
2.71799e-05,0
2.71827e-05,0
2.71855e-05,0
2.71882e-05,0
2.7191e-05,0
2.71938e-05,0
2.71965e-05,0
2.71993e-05,0
2.72021e-05,0
2.72048e-05,0
2.72076e-05,0
2.72104e-05,0
2.72131e-05,0
2.72159e-05,0
2.72187e-05,0
2.72214e-05,0
2.72242e-05,0
2.7227e-05,0
2.72297e-05,0
2.72325e-05,0
2.72352e-05,0
2.7238e-05,0
2.72408e-05,0
2.72435e-05,0
2.72463e-05,0
2.72491e-05,0
2.72518e-05,0
2.72546e-05,0
2.72574e-05,0
2.72601e-05,0
2.72629e-05,0
2.72657e-05,0
2.72684e-05,0
2.72712e-05,0
2.7274e-05,0
2.72767e-05,0
2.72795e-05,0
2.72823e-05,0
2.7285e-05,0
2.72878e-05,0
2.72906e-05,0
2.72933e-05,0
2.72961e-05,0
2.72989e-05,0
2.73016e-05,0
2.73044e-05,0
2.73071e-05,0
2.73099e-05,0
2.73127e-05,0
2.73154e-05,0
2.73182e-05,0
2.7321e-05,0
2.73237e-05,0
2.73265e-05,0
2.73293e-05,0
2.7332e-05,0
2.73348e-05,0
2.73376e-05,0
2.73403e-05,0
2.73431e-05,0
2.73459e-05,0
2.73486e-05,0
2.73514e-05,0
2.73542e-05,0
2.73569e-05,0
2.73597e-05,0
2.73625e-05,0
2.73652e-05,0
2.7368e-05,0
2.73707e-05,0
2.73735e-05,0
2.73763e-05,0
2.7379e-05,0
2.73818e-05,0
2.73846e-05,0
2.73873e-05,0
2.73901e-05,0
2.73929e-05,0
2.73956e-05,0
2.73984e-05,0
2.74012e-05,0
2.74039e-05,0
2.74067e-05,0
2.74095e-05,0
2.74122e-05,0
2.7415e-05,0
2.74178e-05,0
2.74205e-05,0
2.74233e-05,0
2.74261e-05,0
2.74288e-05,0
2.74316e-05,0
2.74343e-05,0
2.74371e-05,0
2.74399e-05,0
2.74426e-05,0
2.74454e-05,0
2.74482e-05,0
2.74509e-05,0
2.74537e-05,0
2.74565e-05,0
2.74592e-05,0
2.7462e-05,0
2.74648e-05,0
2.74675e-05,0
2.74703e-05,0
2.74731e-05,0
2.74758e-05,0
2.74786e-05,0
2.74814e-05,0
2.74841e-05,0
2.74869e-05,0
2.74897e-05,0
2.74924e-05,0
