X: (s),Y: (Hits)
0.000137924,0
0.000138192,0
0.000138461,0
0.000138729,0
0.000138998,0
0.000139266,0
0.000139535,0
0.000139803,0
0.000140072,0
0.00014034,0
0.000140609,0
0.000140877,0
0.000141146,0
0.000141414,0
0.000141683,0
0.000141951,0
0.00014222,0
0.000142488,0
0.000142757,0
0.000143025,0
0.000143294,0
0.000143562,0
0.000143831,0
0.000144099,0
0.000144368,0
0.000144636,0
0.000144905,0
0.000145173,0
0.000145442,0
0.00014571,0
0.000145979,0
0.000146247,0
0.000146516,0
0.000146784,0
0.000147053,0
0.000147321,0
0.00014759,0
0.000147858,0
0.000148127,0
0.000148395,0
0.000148664,0
0.000148932,0
0.000149201,0
0.000149469,0
0.000149738,0
0.000150006,0
0.000150275,0
0.000150543,0
0.000150812,0
0.00015108,1
0.000151349,0
0.000151617,0
0.000151885,0
0.000152154,0
0.000152422,0
0.000152691,0
0.000152959,0
0.000153228,0
0.000153496,0
0.000153765,0
0.000154033,0
0.000154302,0
0.00015457,0
0.000154839,0
0.000155107,0
0.000155376,0
0.000155644,0
0.000155913,0
0.000156181,1
0.00015645,72
0.000156718,12
0.000156987,0
0.000157255,0
0.000157524,0
0.000157792,0
0.000158061,0
0.000158329,0
0.000158598,0
0.000158866,0
0.000159135,0
0.000159403,0
0.000159672,0
0.00015994,0
0.000160209,0
0.000160477,0
0.000160746,0
0.000161014,0
0.000161283,0
0.000161551,0
0.00016182,0
0.000162088,0
0.000162357,0
0.000162625,0
0.000162894,0
0.000163162,0
0.000163431,0
0.000163699,0
0.000163968,0
0.000164236,0
0.000164505,0
0.000164773,0
0.000165042,0
0.00016531,0
0.000165578,0
0.000165847,0
0.000166115,0
0.000166384,0
0.000166652,0
0.000166921,0
0.000167189,0
0.000167458,0
0.000167726,0
0.000167995,0
0.000168263,0
0.000168532,0
0.0001688,0
0.000169069,0
0.000169337,0
0.000169606,0
0.000169874,0
0.000170143,0
0.000170411,0
0.00017068,0
0.000170948,0
0.000171217,0
0.000171485,0
0.000171754,0
0.000172022,0
0.000172291,0
0.000172559,0
0.000172828,0
0.000173096,0
0.000173365,0
0.000173633,0
0.000173902,0
0.00017417,0
0.000174439,0
0.000174707,0
0.000174976,0
0.000175244,0
0.000175513,0
0.000175781,0
0.00017605,0
0.000176318,0
0.000176587,0
0.000176855,0
0.000177124,0
0.000177392,0
0.000177661,0
0.000177929,0
0.000178198,0
0.000178466,0
0.000178734,0
0.000179003,0
0.000179271,1
0.00017954,0
0.000179808,0
